z0_all,,zp7_all,,z3_all,
X,Y,X,Y,X,Y
8.908327057557830,-0.4047477945783030,10.512393760086100,-0.013142789413975800,8.936745562130180,-0.36300309859631900
8.908327057557830,0.19359284783013600,10.510814954276500,0.22539833048307600,8.938324367939750,-0.11253492270441400
8.908327057557830,-0.9076719890279210,10.510814954276500,-0.24572038131360200,8.938324367939750,-0.6055199038249890
9.108835395373860,-0.414687007907347,10.872361484669200,0.09618855720550630,9.378811188811190,-0.7705108450871170
9.108835395373860,0.19359284783013600,10.872361484669200,0.4182190690665270,9.378811188811190,-0.533957567855873
9.108835395373860,-0.8699029783775550,10.870782678859600,-0.22584195465551400,9.378811188811190,-1.005076279652550
9.309343733189890,-0.45643170388933100,,,9.599844002151690,-0.32920977327757000
9.309343733189890,0.1438967811849170,,,9.598265196342120,-0.13638903469411900
9.309343733189890,-0.8997206183646860,,,9.599844002151690,-0.5240183545268300
9.509852071005920,-0.41269916524153800,,,9.959811726734800,-0.15229177602059000
9.509852071005920,0.18166579183528400,,,9.959811726734800,-0.14831609068897200
9.509852071005920,-0.8281582823955700,,,9.959811726734800,-0.16024314668382500
9.719833243679400,-0.3252340879459520,,,10.251890801506200,-0.28945291996139400
9.719833243679400,0.24328891447535500,,,10.251890801506200,-0.2854772346297770
9.719833243679400,-0.7685230024213080,,,10.251890801506200,-0.2974042906246300
9.909289940828400,-0.21391489866066100,,,10.379774072081800,-0.6413010718095470
9.909289940828400,0.2810579251257220,,,10.381352877891300,-0.4246262212363880
9.909289940828400,-0.6989485091180010,,,10.381352877891300,-0.8559880797168930
10.109798278644400,-0.0350090587378723,,,10.561336740182900,-0.4305897492338170
10.109798278644400,0.33274183443675000,,,10.561336740182900,-0.14036472002573700
10.109798278644400,-0.5995563758275620,,,10.561336740182900,-0.7168390931102800
10.310306616460500,0.0882371865422713,,,10.952880580957500,0.20949558915660600
10.310306616460500,0.36255947442388100,,,10.952880580957500,0.21347127448822400
10.310306616460500,-0.4504681758919050,,,10.952880580957500,0.201544218493371
10.510814954276500,0.18365363450109200,,,,
10.510814954276500,0.39237711441101300,,,,
10.510814954276500,0.0186626932389643,,,,
10.720796126950000,0.2373253864779290,,,,
10.720796126950000,0.41225554106910000,,,,
10.720796126950000,-0.03898474406948990,,,,
10.911831629908600,0.2671430264650600,,,,
10.911831629908600,0.4341218103929970,,,,
10.911831629908600,0.06040738922094860,,,,
